# Signatures of the rmw implementation contract — ROS 2 Humble.
# name<TAB>return<TAB>params<TAB>header. Parameter NAMES ARE KEPT;
# the COMPARISON drops them (`rmw_abi_shape.strip_param_names`),
# because a renamed argument is not an ABI difference and reporting
# one trains people to skim — while a page that shows our named
# slots beside upstream's bare types reads as though upstream
# declared them nameless. Regenerate in the distrobox:
#   scripts/rmw-api-inventory.py --signatures \
#     > docs/reference/rmw-implementation-signatures.txt
# format: 2 (parameter names kept; strip them to compare)
rmw_allocate	void *	size_t size	allocators.h
rmw_take_response	rmw_ret_t	const rmw_client_t * client, rmw_service_info_t * request_header, void * ros_response, bool * taken	rmw.h
rmw_take_sequence	rmw_ret_t	const rmw_subscription_t * subscription, size_t count, rmw_message_sequence_t * message_sequence, rmw_message_info_sequence_t * message_info_sequence, size_t * taken, rmw_subscription_allocation_t * allocation	rmw.h
rmw_take_serialized_message	rmw_ret_t	const rmw_subscription_t * subscription, rmw_serialized_message_t * serialized_message, bool * taken, rmw_subscription_allocation_t * allocation	rmw.h
rmw_take_serialized_message_with_info	rmw_ret_t	const rmw_subscription_t * subscription, rmw_serialized_message_t * serialized_message, bool * taken, rmw_message_info_t * message_info, rmw_subscription_allocation_t * allocation	rmw.h
rmw_take_with_info	rmw_ret_t	const rmw_subscription_t * subscription, void * ros_message, bool * taken, rmw_message_info_t * message_info, rmw_subscription_allocation_t * allocation	rmw.h
rmw_time_equal	bool	const rmw_time_t left, const rmw_time_t right	time.h
rmw_time_from_nsec	rmw_time_t	const rmw_duration_t nanoseconds	time.h
rmw_time_normalize	rmw_time_t	const rmw_time_t time	time.h
rmw_time_total_nsec	rmw_duration_t	const rmw_time_t time	time.h
rmw_topic_endpoint_info_array_check_zero	rmw_ret_t	rmw_topic_endpoint_info_array_t * topic_endpoint_info_array	topic_endpoint_info_array.h
rmw_topic_endpoint_info_array_fini	rmw_ret_t	rmw_topic_endpoint_info_array_t * topic_endpoint_info_array, rcutils_allocator_t * allocator	topic_endpoint_info_array.h
rmw_topic_endpoint_info_array_init_with_size	rmw_ret_t	rmw_topic_endpoint_info_array_t * topic_endpoint_info_array, size_t size, rcutils_allocator_t * allocator	topic_endpoint_info_array.h
rmw_topic_endpoint_info_fini	rmw_ret_t	rmw_topic_endpoint_info_t * topic_endpoint_info, rcutils_allocator_t * allocator	topic_endpoint_info.h
